description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes,service|type,code|1|description,code|2|description,clinical_domain,pricing|discounted,pricing|gross,description_clean
Pf Tx Fx Humeral Shaft W/O Man,PX-98300191,CDM,24500,CPT,983.0,RC,,,outpatient,,,1570.0,1177.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS SELECT LIMITED NETWORK HMO [11000117],,1034.96,,,1034.96,225.09,1756.21,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0007577970432123614,,pf tx fx humeral shaft wo man
NAIL BONE 10MMX300 ANKLE ARTHRODESIS T2 STANDARD LEFT,SUP-172061,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,7584.3,5688.22,HARVARD PILGRIM [120001],HARVARD PILGRIM STRIDE MEDICARE REPLACEMENT [12000109],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.003660760362441283,,nail bone 10mmx300 ankle arthrodesis t2 standard left
"Peripheral, Cranial Nerve And Other Nervous System Procedures Without Cc/McC",42,MS-DRG,,,,,,,inpatient,,,82639.31,61979.48,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH HMO MEDICARE REPLACEMENT [11000123],,,,,19574.78,4391.02,58454.32,,,MS-DRG,Unknown,Unknown,Unknown,0.03988811718644681,,peripheral cranial nerve nervous system procedures without ccmcc
Phenylalanine (Pku),PX-30000608,CDM,84030,CPT,301.0,RC,,,inpatient,,,78.0,58.5,MGB HEALTH PLAN [150001],MGB VALUE HMO [15000112],,,,,,,,,,CPT,Unknown,Unknown,Unknown,3.764239955964893e-05,,phenylalanine pku
Analy Gene Cftr Intron 8 Poly-T,PX-30000212,CDM,81224,CPT,301.0,RC,,,outpatient,,,985.0,738.75,MEDICARE MAP ALTERNATE [2004],MEDICARE MAP ALTERNATE [200401],,,,,985.0,405.0,668.25,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.00047543077877748417,,analy gene cftr intron 8 polyt
KIT LEAD REPAIR PACEMAKER SINGLE DUAL CHAMBER,SUP-112849,CDM,C1779,HCPCS,278.0,RC,,,inpatient,,,280.0,210.0,ELDER SERVICES [1037],ELDER SERVICE NEIGHBORHOOD PACE [103602],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00013514322933032446,,kit lead repair pacemaker single dual chamber
GRAFT VASCULAR 2.0MMX10 15CM GORE TEX EPTFE SOFT TISSUE HERNIA PATCH,SUP-91756,CDM,C1781,HCPCS,278.0,RC,,,inpatient,,,4126.5,3094.87,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM MAINE HMO POS [11000121],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0019917585348123625,,graft vascular 20mmx10 15cm gore tex eptfe soft tissue hernia patch
Colonoscopy Stoma W/Biopsy,PX-75000158,CDM,44389,CPT,750.0,RC,,,inpatient,,,2571.0,1928.25,TRICARE [160005],TRICARE OVERSEAS [16000506],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0012409570956898178,,colonoscopy stoma wbiopsy
Pf Exc Lesn Bgn Sclp/Hnd 1.1-2.0cm,PX-98300043,CDM,11422,CPT,983.0,RC,,,outpatient,,,610.0,457.5,TRICARE [160005],TRICARE EAST REGION SELECT [16000507],,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,463.6,150.09,1756.21,other,Tricare OPPS,CPT,Unknown,Unknown,Unknown,0.00029442676311410135,,pf exc lesn bgn sclphnd 1120cm
Injection Aa&/Strd Sciatic Nerve W/Img Gdn,PX-98300442,CDM,64445,CPT,983.0,RC,,,outpatient,,,334.0,250.5,ELDER SERVICES [1037],ELDER SERVICE NEIGHBORHOOD PACE [103602],,75.43,,,75.43,75.43,1756.21,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0001612078075858516,,injection aastrd sciatic nerve wimg gdn
Slctv Cath Subclavian Art Angio Ver|BILATERAL PROCEDURE,PX-48000228,CDM,36225,CPT,361.0,RC,,,outpatient,,,9739.0,7304.25,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE HMO [11000109],50,4531.1,,,9739.0,4531.1,20638.76,other,ASC ,CPT,Unknown,Unknown,Unknown,0.0047007885204234925,,slctv cath subclavian art angio verbilateral procedure
SCREW CENTRE 1.2X5MM DRIVE MICRO EMERG TITANIUM ALLOCKINGY LEVEL ONE TI 6AL4V,SUP-514053,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1112.13,834.1,INTERNATIONAL COMMERCIAL [140001],AETNA INTERNATIONAL [14000102],,,77.5,,861.9,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.0005367951623988301,,screw centre 12x5mm drive micro emerg titanium allockingy level one ti 6al4v
"ONASEMNOGENE ABEPARVOVEC-XIOI 2 X 10EXP13 VG/ML IV SUSPENSION,KIT",RX-201733,CDM,J3399,HCPCS,636.0,RC,71894-0137-08,NDC,inpatient,63.3,ML,0.01,0.01,MGB HEALTH PLAN [150001],MGBHP EMPLOYEES FAMILY [15000110],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0,,onasemnogene abeparvovecxioi 2 x 10exp13 vgml iv suspensionkit
FIBULA PLATE 91MM 5 HOLE BONE DISTAL SS LOCKING RIGHT,SUP-307531,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,2275.0,1706.25,TUFTS HEALTH PUBLIC PLANS [1013],TUFTS PUBLIC PLANS ONE CARE MEDICARE REPLACEMENT [101304],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.001098084592659521,,fibula plate 91mm 5 hole bone distal ss locking right
Graft Bypass Carotid/Vertebral,PX-76000949,CDM,35508,CPT,361.0,RC,,,inpatient,,,33444.0,25083.0,COMMONWEALTH CARE ALLIANCE [1007],COMMONWEALTH CARE ALLIANCE PREF VALUE MEDICARE REPLACEMENT [100703],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.016142655697224798,,graft bypass carotidvertebral
MESH BIOSCAFFOLD 10CM 12CM REINFORCED OVITEK PERMANENT,SUP-597436,CDM,C1781,HCPCS,278.0,RC,,,inpatient,,,3990.0,2992.5,ELDER SERVICES [1037],NORTH SHORE ELDER SERVICES [103603],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0019258762909600585,,mesh bioscaffold 10cm 12cm reinforced ovitek permanent
CT Max/Facial W/O Contrast,PX-35000021,CDM,70486,CPT,351.0,RC,,,inpatient,,,2322.0,1741.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE HMO [11000109],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0011207704292893316,,ct maxfacial wo contrast
BREAST KIT 10CM WX17 L 0.71.4MM SM FLEXHD PLIABLE SHAPED THIN,SUP-531806,CDM,Q4128,HCPCS,636.0,RC,,,inpatient,,,7364.4,5523.3,TUFTS HEALTH PLAN [170001],TUFTS SENIOR CARE OPTION MEDICARE REPLACEMENT [17000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0035546228255054426,,breast kit 10cm wx17 l 0714mm sm flexhd pliable shaped thin
DISC MEMBRANE 16MM GRAFT TISSUE ALLOGRAFT AMNIOFIX AMNIOTIC SHEET,SUP-420920,CDM,Q4100,HCPCS,636.0,RC,,,inpatient,,,1254.93,941.2,FALLON HEALTH [1008],FALLON BERKSHIRE HEALTH COLLABORATIVE ACO [100811],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0006057214915634463,,disc membrane 16mm graft tissue allograft amniofix amniotic sheet
Ecmo/Ecls Rmvl Prph Cannula Open 6 Yrs & Older,PX-36000334,CDM,33984,CPT,361.0,RC,,,inpatient,,,7839.0,5879.25,MGB HEALTH PLAN [150001],MGBHP ALLIES [15000111],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.00378370150772902,,ecmoecls rmvl prph cannula open 6 yrs older
Hpa-2 Genotyping Gene Analysis Common Variant,PX-31000887,CDM,81106,CPT,310.0,RC,,,inpatient,,,1774.0,1330.5,WELLPOINT [1015],WELLPOINT GIC TOTAL CHOICE INDEMNITY [101501],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0008562632277332416,,hpa2 genotyping gene analysis common variant
BONE PLATE TROCHANTER 2 2.0MM CABLE 150 MD VITALLIUM GRIP,SUP-302108,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,3393.75,2545.31,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE PPO MEDICARE REPLACEMENT [11000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.001638078297130696,,bone plate trochanter 2 20mm cable 150 md vitallium grip
IBUPROFEN 400 MG TABLET,RX-3843,CDM,25009999,HCPCS,259.0,RC,00904-5853-61,NDC,outpatient,1.0,UN,0.24,,HEALTH NEW ENGLAND [1034],HEALTH NEW ENGLAND MEDICARE POS PPO REPLACEMENT [103105],,,,,0.24,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,,,ibuprofen 400 mg tablet
Anal And Stomal Procedures Without Cc/McC,349,MS-DRG,,,,,,,inpatient,,,71563.31,53672.48,MGB HEALTH PLAN [150001],MGBHP HMO MEDICARE REPLACEMENT [15000115],,6662.2,,"Wage-adjusted base payment rate plus any adjustments related to capital costs, indirect medical education (IME), disproportionate share hospital (DSH) adjustors, new technology, hemophilia, sole community hospital (SCH) and Medicare Dependent Hospital (MDH) adjustors, transfers, and outliers.",10137.39,6662.2,38348.16,other,Inpatient DRG,MS-DRG,Unknown,Unknown,Unknown,0.034541982579813134,,anal stomal procedures without ccmcc
INTRODUCER SHEATH 20FRX0.035IN 65CM VASCULAR CHECK FLO DILATOR,SUP-132008,CDM,C1894,HCPCS,272.0,RC,,,inpatient,,,1358.0,1018.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE HMO MEDICARE REPLACEMENT [11000120],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0006554694396906622,,introducer sheath 20frx0035in 65cm vascular check flo dilator
PLATE BONE 2X4 HOLE HAND APTUS LOCKING L SHAPE RT,SUP-188758,CDM,C1713,HCPCS,278.0,RC,,,outpatient,,,1760.5,1320.37,COVID19 HRSA UNINSURED TESTING AND TREATMENT FUND [160008],COVID19 HRSA UNINSURED TESTING AND TREATMENT FUND [16000801],,,,,1760.5,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.0008497438653201924,,plate bone 2x4 hole hand aptus locking l shape rt
BARRIER ADHESION 3.0X4.0IN INTERCEED ABSORBABLE GYNECARE IMPLANTABLE CS/10EA,SUP-302271,CDM,C1765,HCPCS,278.0,RC,,,inpatient,,,924.21,693.16,UNITED HEALTHCARE [1016],UNITED SCO COMMUNITY MEDICAID REPLACEMENT [101620],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0004460904300695957,,barrier adhesion 30x40in interceed absorbable gynecare implantable cs10ea
PLATE INSERT MATRIXNEURO NEUROSURGERY MODULE ULTRA LOW PROFILE,SUP-433136,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1159.13,869.35,MEDICARE [2001],MEDICARE PART A & B [200103],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0005594809990286407,,plate insert matrixneuro neurosurgery module ultra low profile
Perq Breast Loc Device Placemt 1st Strtctc Guid,PX-76001974,CDM,19283,CPT,761.0,RC,,,outpatient,,,736.0,552.0,HARVARD PILGRIM [120001],HARVARD PILGRIM HEALTH PLANS INC PPO [12000102],,1065.99,,,1065.99,102.21,1680.09,fee schedule,,CPT,Unknown,Unknown,Unknown,0.00035524411237699795,,perq breast loc device placemt 1st strtctc guid
Kidney And Urinary Tract Neoplasms With Cc,687,MS-DRG,,,,,,,inpatient,,,48243.67,36182.75,INTERNATIONAL COMMERCIAL [140001],ONE TEAM HEALTH [14000119],,,65.0,,31358.39,6430.04,19987.27,percent of total billed charges,,MS-DRG,Unknown,Unknown,Unknown,0.02328611995628127,,kidney urinary tract neoplasms cc
Dest Nerve Neurolytic Peripheral,PX-76001589,CDM,64640,CPT,761.0,RC,,,outpatient,,,2306.0,1729.5,HARVARD PILGRIM [120001],HARVARD PILGRIM SIMPLY VIRTUAL [12000120],,764.84,,,1705.59,127.4,2757.26,other,Multiple Surgery,CPT,Unknown,Unknown,Unknown,0.001113047591287694,,dest nerve neurolytic peripheral
SCREW BONE 5X55MM LOCKING SELF-TAPPING TITANIUM T25 STARDRIVE,SUP-667063,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,497.28,372.96,HARVARD PILGRIM [120001],HPHC HPI BMC TIERED HMO [12000123],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00024001936939256396,,screw bone 5x55mm locking selftapping titanium t25 stardrive
Peripheral Vascular Disorders With Cc,300,MS-DRG,,,,,,,inpatient,,,45692.66,34269.49,GENERIC MEDICARE REPLACEMENT [1010],NEIGHBORHOOD HEALTH PLAN RI SCO MEDICARE REPLACEMENT [101008],,8096.89,,"Wage-adjusted base payment rate plus any adjustments related to capital costs, indirect medical education (IME), disproportionate share hospital (DSH) adjustors, new technology, hemophilia, sole community hospital (SCH) and Medicare Dependent Hospital (MDH) adjustors, transfers, and outliers.",9666.37,5451.08,34624.15,other,Inpatient Replacement Plans DRG,MS-DRG,Unknown,Unknown,Unknown,0.02205480353669683,,peripheral vascular disorders cc
"OSM_MIX ROPIV 0.25%-EPI 1:400,000",RX-7008823,CDM,J2795,HCPCS,636.0,RC,00000-0060-56,NDC,inpatient,1.0,ML,1.08,0.81,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH PPO MEDICARE REPLACEMENT [11000124],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,5.148558667758445e-07,,osmmix ropiv 025epi 1400000
Admin Hepatitis B Vaccine No Fee,PX-77100012,CDM,G0010,HCPCS,771.0,RC,,,inpatient,,,42.0,31.5,MARTIN'S POINT [160007],MARTIN'S POINT GENERATIONS ADV PPO POS MEDICARE REPLACEMENT [16000703],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,2.026601405596418e-05,,admin hepatitis b vaccine fee
Alcohol (Quantitative Alcohols),PX-30002837,CDM,80320,CPT,301.0,RC,,,inpatient,,,118.0,88.5,CENTERS OF EXCELLENCE [1026],AETNA TRANSPLANT [102601],,,,,,,,,,CPT,Unknown,Unknown,Unknown,5.6949494563743094e-05,,alcohol quantitative alcohols
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION,RX-8970,CDM,25009999,HCPCS,250.0,RC,00000-0018-91,NDC,inpatient,5.0,ML,14.96,11.22,MGB HEALTH PLAN [150001],MGBHP EMPLOYEES FAMILY [15000110],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,7.214417833196521e-06,,acyclovir 200 mg5 ml oral suspension
MEXILETINE ORAL SUSP 10 MG/ML PED_CMPD_MGH,RX-701165,CDM,25009999,HCPCS,250.0,RC,00000-0022-25,NDC,inpatient,10.0,ML,3.32,2.49,WELLSENSE [1003],WELLSENSE COMMUNITY ALLIANCE ACO [100306],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.596053187005118e-06,,mexiletine oral susp 10 mgml pedcmpdmgh
EPINEPHRINE 1 MG/ML (1 ML) INJECTION SOLUTION,RX-127047,CDM,J0171,HCPCS,636.0,RC,42023-0159-01,NDC,inpatient,1.0,ML,55.03,41.27,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA HMO POS [11000103],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,2.655369132896418e-05,,epinephrine 1 mgml 1 ml injection solution
Colsc Flexible W/Control Bleeding Any Method,PX-75000197,CDM,45382,CPT,750.0,RC,,,inpatient,,,2623.0,1967.25,GENERIC COMMERCIAL [1009],GENERIC SNF [100923],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0012660563191951404,,colsc flexible wcontrol bleeding method
CATHETER Z-MED 9FR 23MM 4CM 120CM .035IN BALLOON DILATATION PTV SPECIAL ORDER,SUP-535655,CDM,,,272.0,RC,,,inpatient,,,2574.01,1930.51,TUFTS HEALTH PLAN [170001],TUFTS SELECT [17000116],,,,,,,,,,CDM,Unknown,Unknown,Unknown,0.0012424115635134595,,catheter zmed 9fr 23mm 4cm 120cm 035in balloon dilatation ptv special order
"Inj, Tbo-Filgrastim, 1 Mcg",PX-63601209,CDM,J1447,HCPCS,636.0,RC,,,inpatient,,,3.03,2.27,GENERIC MEDICARE REPLACEMENT [1010],WELLSENSE NH MEDICARE REPLACEMENT [101004],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.4544678236417605e-06,,inj tbofilgrastim 1 mcg
DOXAZOSIN 2 MG TABLET,RX-9895,CDM,25009999,HCPCS,250.0,RC,68084-0851-25,NDC,inpatient,1.0,UN,2.83,2.12,MASSHEALTH [3001],MASSHEALTH LIMITED [300105],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.3579323486212898e-06,,doxazosin 2 mg tablet
SCREW BONE 7.5X100MM DARCO TI COMPRESSION 32MM THREAD,SUP-436410,CDM,C1713,HCPCS,278.0,RC,,,outpatient,,,1354.5,1015.87,CENTERS OF EXCELLENCE [1026],OPTUM HEALTH TRANSPLANT [102604],,,70.0,,948.15,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.0006537768510286367,,screw bone 75x100mm darco ti compression 32mm thread
FINASTERIDE ORAL SUSP 50 MG/150 ML CMPD MGH_SRH_BWH,RX-7000152,CDM,25009999,HCPCS,259.0,RC,00000-0063-08,NDC,outpatient,15.0,ML,31.62,,MEDICARE ALTERNATE [2002],MEDICARE RAILROAD PROF [200202],,,,,31.62,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,,,finasteride oral susp 50 mg150 ml cmpd mghsrhbwh
Manipulation Knee Joint Under General Anesthesia,PX-36000085,CDM,27570,CPT,361.0,RC,,,outpatient,,,3901.0,2925.75,HEALTH NEW ENGLAND [1034],HEALTH NEW ENGLAND MEDICARE HMO REPLACEMENT [103107],,,,,3901.0,1182.01,1756.21,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.001882918004575949,,manipulation knee joint general anesthesia
Aortic Dysfunction/Dilation Dup/Del Analysis,PX-30002899,CDM,81411,CPT,301.0,RC,,,inpatient,,,6219.0,4664.25,MEDICARE ALTERNATE [2002],MEDICARE RAILROAD PROF [200202],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0030017641600632063,,aortic dysfunctiondilation dupdel analysis
Tocilizumab Vl 1mg,PX-63600187,CDM,J3262,HCPCS,636.0,RC,,,inpatient,,,13.6,10.2,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND ANTHEM ME [11000137],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,6.5579766030573175e-06,,tocilizumab vl 1mg
THIOTEPA (PF) 100 MG INJECTION,RX-700767,CDM,J9340,HCPCS,636.0,RC,00000-0012-16,NDC,outpatient,10.0,ML,20686.53,15514.9,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE HMO MEDICARE REPLACEMENT [11000120],,,,,20686.53,2658.53,4806.64,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.00998491517360235,,thiotepa pf 100 mg injection
CEFEPIME 1 GRAM SOLUTION FOR INJECTION,RX-16369,CDM,J0692,HCPCS,636.0,RC,44567-0240-10,NDC,inpatient,10.0,ML,11.4,8.55,TUFTS HEALTH PLAN [170001],TUFTS POS EPO [17000105],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,5.496086377832139e-06,,cefepime 1 gram solution injection
Ecmo/Ecls Insj of Prph Cannula Birth-5 Yrs Perq,PX-36000319,CDM,33951,CPT,361.0,RC,,,inpatient,,,9690.0,7267.5,HARVARD PILGRIM [120001],HARVARD PILGRIM PPO [12000105],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.004677137329043478,,ecmoecls insj prph cannula birth5 yrs perq
Bwh Melandcyte Stimulating Horm,PX-30002818,CDM,83520,CPT,301.0,RC,,,inpatient,,,213.0,159.75,HEALTH NEW ENGLAND [1034],HEALTH NEW ENGLAND MEDICARE HMO REPLACEMENT [103107],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.00010280384519846674,,bwh melandcyte stimulating horm
Skin Test Unlisted Antigen,PX-30001391,CDM,86486,CPT,302.0,RC,,,inpatient,,,63.0,47.25,FALLON HEALTH [1008],FALLON MEDICARE REPLACEMENT [100803],,,,,,61.3,64.39,,,CPT,Unknown,Unknown,Unknown,3.0402238933113615e-05,,skin test unlisted antigen
Xr Venacavagram Inferior S&I,PX-32000285,CDM,75825,CPT,320.0,RC,,,inpatient,,,7306.0,5479.5,TUFTS HEALTH PUBLIC PLANS [1013],TUFTS PUBLIC PLANS ONE CARE MEDICARE REPLACEMENT [101304],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.003526434466799465,,xr venacavagram inferior si
Spec Stain Incls Bodies/Parasites,PX-30001194,CDM,87207,CPT,306.0,RC,,,inpatient,,,100.0,75.0,MGB HEALTH PLAN [150001],MGBHP EMPLOYEES FAMILY [15000110],,,,,,,,,,CPT,Unknown,Unknown,Unknown,4.826130181190072e-05,,spec stain incls bodiesparasites
KNEE IMPLANT 13CM FEMORAL COMPONENT SEGMENT DIAPHYSL OSS WITH SCREW ONC 03,SUP-177381,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,6853.88,5140.41,MGB HEALTH PLAN [150001],MGBHP EMPLOYEES FAMILY [15000110],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0033082063719681886,,knee implant 13cm femoral component segment diaphysl oss screw onc 03
Valve / Ring Heart Allograft T3,PX-27000723,CDM,,,278.0,RC,,,inpatient,,,11167.43,8375.57,HARVARD PILGRIM [120001],HPHC HPI BMC TIERED HMO [12000123],,,,,,,,,,CDM,Unknown,Unknown,Unknown,0.005390257754416364,,valve ring heart allograft t3
"FLUTICASONE PROPIONATE 50 MCG/ACTUATION NASAL SPRAY,SUSPENSION",RX-70536,CDM,25009999,HCPCS,250.0,RC,60505-0829-01,NDC,inpatient,16.0,GR,34.0,25.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE INDEMNITY [11000110],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.6404595055145347e-05,,fluticasone propionate 50 mcgactuation nasal spraysuspension
Mgh Cnbp Repeat Analysis,PX-31000602,CDM,81479,CPT,310.0,RC,,,inpatient,,,876.0,657.0,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH PPO [11000119],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.00042281894489132755,,mgh cnbp repeat analysis
Inject Elbow Arthrogrm,PX-76000410,CDM,24220,CPT,761.0,RC,,,inpatient,,,481.0,360.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND RI [11000139],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.00023216138172589765,,inject elbow arthrogrm
Nitric Oxide per Hour,PX-41000027,CDM,41000027,LOCAL,250.0,RC,,,outpatient,,,175.0,131.25,GENERIC MEDICARE REPLACEMENT [1010],NEIGHBORHOOD HEALTH PLAN RI SCO MEDICARE REPLACEMENT [101008],,,,,175.0,,,other,APC grouping requires price history; No contract line matched,LOCAL,Unknown,Unknown,Unknown,8.446210494457729e-05,,nitric oxide per hour
SALIVARY STENT DUCT WALVEKAR GUIDEWIRE 1.2MM,SUP-564362,CDM,27001318,LOCAL,272.0,RC,,,inpatient,,,691.89,518.92,MASSHEALTH [3001],MASSHEALTH DENTAL [300109],,,,,,,,,,LOCAL,Unknown,Unknown,Unknown,0.00033395482228581677,,salivary stent duct walvekar guidewire 12mm
GRAFT STENT 25X16X100MM AFX2 ABDOMINAL AORTIC ANEURYSM BIFURCATED BEA25-70/I16-30,SUP-476171,CDM,C1768,HCPCS,278.0,RC,,,inpatient,,,27500.0,20625.0,HARVARD PILGRIM [120001],HARVARD PILGRIM INDEPENDENCE GIC PPO [12000108],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.013273621379616404,,graft stent 25x16x100mm afx2 abdominal aortic aneurysm bifurcated bea2570i1630
ERGOTAMINE-CAFFEINE 2 MG-100 MG RECTAL SUPPOSITORY,RX-9950,CDM,25009999,HCPCS,259.0,RC,00713-0166-12,NDC,outpatient,1.0,UN,807.41,,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE PPO MEDICARE REPLACEMENT [11000111],,,,,807.41,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,,,ergotaminecaffeine 2 mg100 mg rectal suppository
"IV Injection, Bebtelovimab, Administered at Home Includes Post Admin Mon",PX-33000162,CDM,M0223,HCPCS,335.0,RC,,,inpatient,,,1931.0,1448.25,HARVARD PILGRIM ALTERNATE [120002],HARVARD PILGRIM UNITED PREFERRED A [12000202],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0009320435756243113,,iv injection bebtelovimab administered home includes post admin mon
LANSOPRAZOLE 3 MG/ML SUSP,RX-40840054,CDM,25009998,HCPCS,250.0,RC,00000-0029-32,NDC,outpatient,500.0,ML,554.63,415.97,TUFTS HEALTH PLAN [170001],TUFTS MEDICARE PREFERRED HMO REPLACEMENT [17000103],,,,,554.63,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.00026769930793010035,,lansoprazole 3 mgml susp
BOSENTAN ORAL SOLUTION 6.25 MG/ML (120 ML) CMPD MGH,RX-705091,CDM,25009999,HCPCS,259.0,RC,00000-0060-77,NDC,outpatient,120.0,ML,325.38,,AETNA [1001],AETNA HMO MEDICARE REPLACEMENT [100109],,,,,325.38,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,,,bosentan oral solution 625 mgml 120 ml cmpd mgh
VANCOMYCIN 125 MG CAPSULE,RX-11628,CDM,25009999,HCPCS,259.0,RC,42494-0450-20,NDC,inpatient,1.0,UN,4.73,,FALLON HEALTH [1008],FALLON NAVICARE SCO SNP MEDICARE REPLACEMENT [100815],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,,,vancomycin 125 mg capsule
K-WIRE BONE 500MM FIXATION LUXOR SS CANNULATED SHARP TIP,SUP-147427,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,140.0,105.0,HARVARD PILGRIM [120001],HPHC ELEVATE HMO [12000118],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,6.756839681599489e-05,,kwire bone 500mm fixation luxor ss cannulated sharp tip
Photodynamic Skin Session,PX-76001679,CDM,96567,CPT,761.0,RC,,,outpatient,,,1169.0,876.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS SELECT LIMITED NETWORK HMO [11000117],,285.32,,,285.32,160.99,542.52,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0005642434157963173,,photodynamic skin session
Gonioscopy,PX-51000008,CDM,92020,CPT,510.0,RC,,,outpatient,,,184.0,138.0,TUFTS HEALTH PLAN [170001],TUFTS SPIRIT OR SELECT [17000107],,145.28,,,145.28,21.11,308.79,fee schedule,,CPT,Unknown,Unknown,Unknown,8.880620132049847e-05,,gonioscopy
